n_steps,final_rec,Ns,death_rate,Is,beta,infection_period,final_inf,detection_time,deaths,peak,reinfection_probability,seed
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,42
100,0.0026666666666666666,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.002,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.1,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.0400976290097629,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.9599023709902371,7,132,0.9952846076119906,0.1,42
100,0.001,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.0,7,0,0.001,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.2,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.0074850299401197605,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.9925149700598802,7,328,1.0,0.1,42
100,0.060650887573964495,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.9393491124260355,7,296,0.999644128113879,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.3,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.08093797276853253,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.9190620272314675,7,356,1.0,0.1,42
100,0.029895366218236172,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.9701046337817638,7,324,1.0,0.1,43
100,0.0006666666666666666,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.4,14,0.0,7,0,0.0006666666666666666,0.1,44
100,0.009380863039399626,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,0.9906191369606003,7,335,1.0,0.1,42
100,0.00037023324694557573,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,0.9996297667530544,7,299,1.0,0.1,43
100,0.0003729951510630362,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.5,14,0.999627004848937,7,319,1.0,0.1,44
100,0.014264264264264264,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9857357357357357,7,336,1.0,0.1,42
100,0.0018782870022539444,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9981217129977461,7,338,1.0,0.1,43
100,0.0038022813688212928,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.6,14,0.9961977186311787,7,370,1.0,0.1,44
100,0.09444872783346184,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.9055512721665382,7,406,1.0,0.1,42
100,0.002629601803155522,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.9973703981968445,7,338,1.0,0.1,43
100,0.016541353383458645,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.7,14,0.9834586466165414,7,340,1.0,0.1,44
100,0.13496932515337423,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.8650306748466258,7,392,1.0,0.1,42
100,0.0022480329711502436,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.9977519670288497,7,331,1.0,0.1,43
100,0.02373775433308214,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.8,14,0.9762622456669179,7,346,1.0,0.1,44
100,0.04732589457483648,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,0.9526741054251635,7,401,1.0,0.1,42
100,0.06223908918406072,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,0.9377609108159393,7,365,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",0.9,14,1.0,7,391,1.0,0.1,44
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,393,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,403,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",1.0,14,1.0,7,426,1.0,0.1,44
